source,campaign,region,locality,preferred_doctor_gender,reason_for_visit,patient_insured,number_of_match_results,out_network_results_shown,in_network_results_shown,avg_distance_overall,appointment_requested
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,9,9,0,2567.99322,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Checkup,t,9,0,9,13731.51472,f
facebook,san_diego_doctor_patient_acquisition,San Jose,San Jose,No Pref,Urgent Issue,t,9,9,0,9898.135753,f
facebook,austin_doctor_patient_acquisition,Denver,Denver,F,Checkup,t,6,5,1,6333.971386,f
adwords,search_chicago_metro,Chicago,Tinley Park,No Pref,Checkup,t,5,0,5,16083.478030000002,f
drip_gift_card_4,patient_leads_may_2018,San Jose,San Jose,No Pref,Checkup,f,9,0,0,9718.720779,t
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,f,9,0,0,2567.99322,f
www.healthcare.com,Unknown,Austin,Austin,M,Urgent Issue,t,6,6,0,13199.25314,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,1,8,4075.103031,f
facebook,chicago_doctor_patient_acquisition,Seattle,Bellingham,No Pref,Checkup,f,0,0,0,,f
patient_leads_may_2018,patient_leads_may_2018,Chicago,Chicago,No Pref,Checkup,t,9,0,9,8199.032857,t
adwords,search_chicago_local,Chicago,Chicago,No Pref,Urgent Issue,t,9,0,9,2592.9141050000007,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,5,4,8487.359417,t
facebook,chicago_doctor_patient_acquisition,Seattle,Bothell,M,Checkup,t,9,9,0,13639.97719,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,9037.660298,f
facebook,austin_doctor_patient_acquisition,Austin,Cedar Park,No Pref,Checkup,f,8,0,0,15227.55134,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,F,Checkup,t,6,1,5,5004.845381,f
facebook,chicago_doctor_patient_acquisition,Chicago,Des Plaines,No Pref,Checkup,t,9,2,7,14568.25201,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,t,9,9,0,10015.20426,f
facebook,seattle_doctor_patient_acquisition,Chicago,Chicago Heights,F,Checkup,t,0,0,0,,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,0,9,10870.60431,f
facebook,seattle_doctor_patient_acquisition,Seattle,Puyallup,No Pref,Checkup,t,2,1,1,22136.97379,t
facebook,denver_doctor_patient_acquisition,Denver,Arvada,No Pref,Urgent Issue,t,9,8,1,14206.69491,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Urgent Issue,t,9,0,9,14099.30737,f
adwords,search_seattle_local,Seattle,Seattle,No Pref,Checkup,t,9,4,5,7439.691787999999,f
facebook,chicago_doctor_patient_acquisition,Austin,San Antonio,F,Checkup,t,0,0,0,,f
facebook,chicago_doctor_patient_acquisition,Chicago,Cicero,No Pref,Urgent Issue,f,9,0,0,9159.161086,f
patient_leads_may_2018,patient_leads_may_2018,San Diego,San Diego,No Pref,Checkup,t,9,0,9,12844.43922,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,5534.894642,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,9,1,8,3984.594095,t
facebook,seattle_doctor_patient_acquisition,Seattle,Redmond,No Pref,Checkup,t,9,5,4,8897.692293,f
Branded - Adwords,branded_keywords,Seattle,Seattle,No Pref,Checkup,t,9,4,5,7439.691787999999,t
facebook,austin_doctor_patient_acquisition,Austin,Austin,F,Checkup,f,5,0,0,7458.933120999999,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,10177.87027,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,6793.48299,f
Patients,Unknown,San Francisco,San Francisco,No Pref,Urgent Issue,t,9,2,7,5610.414495,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Checkup,t,9,6,3,3842.0803200000014,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Specific Treatment,t,9,8,1,7242.942701000001,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,t,9,9,0,9627.980296,f
adwords,search_sanfrancisco_local,San Francisco,San Francisco,No Pref,Specific Treatment,t,9,8,1,2155.953915,f
facebook,austin_doctor_patient_acquisition,Austin,Hutto,F,Checkup,t,2,2,0,23981.2782,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,f,9,0,0,2150.607797,f
facebook,chicago_doctor_patient_acquisition,Chicago,Morton Grove,No Pref,Checkup,t,9,0,9,16172.01723,t
facebook,seattle_doctor_patient_acquisition,Seattle,Bellevue,No Pref,Checkup,t,9,0,9,6974.5666489999985,t
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,3,6,6817.487889,f
facebook,chicago_doctor_patient_acquisition,Austin,San Antonio,M,Checkup,f,0,0,0,,f
adwords,search_seattle_local,Seattle,Seattle,No Pref,Urgent Issue,t,9,3,6,10067.0922,f
facebook,denver_doctor_patient_acquisition,Denver,Westminster,No Pref,Urgent Issue,f,9,0,0,18506.86726,f
adwords,search_austin_local,Austin,Cedar Park,No Pref,Checkup,f,8,0,0,15227.55134,f
SEO - C/S Page,Unknown,Austin,San Antonio,No Pref,Checkup,f,0,0,0,,f
Branded - SEO,Unknown,Austin,Austin,No Pref,Checkup,t,9,3,6,9068.532192,f
SEO - C/S Page,Unknown,Austin,San Antonio,F,Specific Treatment,t,0,0,0,,f
drip_gift_card_4,patient_leads_may_2018,Denver,Aurora,No Pref,Checkup,t,8,5,3,17873.41399,f
www.facebook.com,Unknown,Seattle,Seattle,No Pref,Checkup,t,9,0,9,12659.78508,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,2,7,13131.90688,t
facebook,chicago_doctor_patient_acquisition,Seattle,Tacoma,No Pref,Checkup,t,2,0,2,19836.98076,f
facebook,chicago_doctor_patient_acquisition,Chicago,Riverside,F,Checkup,t,9,7,2,16012.7184,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,5,4,7045.802284,f
facebook,chicago_doctor_patient_acquisition,Chicago,Alsip,F,Checkup,t,3,1,2,18093.61565,f
facebook,chicago_doctor_patient_acquisition,Chicago,Elmwood Park,No Pref,Checkup,t,9,0,9,11642.056,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,5869.9969770000025,f
www.healthcare.com,Unknown,Seattle,Seattle,No Pref,Checkup,t,9,0,9,6375.35755,f
facebook,san_diego_doctor_patient_acquisition,San Francisco,Fremont,No Pref,Checkup,t,8,2,6,21976.70801,t
facebook,chicago_doctor_patient_acquisition,Chicago,Highland Park,No Pref,Checkup,t,9,8,1,18282.83471,f
Branded - SEO,Unknown,San Jose,San Jose,F,Checkup,f,6,0,0,13713.82232,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Novato,No Pref,Checkup,t,0,0,0,,f
adwords,search_seattle_metro,Seattle,Lynnwood,No Pref,Urgent Issue,f,9,0,0,11567.96676,f
Patients,Unknown,Denver,Denver,No Pref,Checkup,t,9,9,0,6819.192143000001,f
facebook,san_diego_doctor_patient_acquisition,San Francisco,Hayward,No Pref,Specific Treatment,f,1,0,0,23709.95278,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,F,Checkup,f,6,0,0,19404.04832,t
facebook,seattle_doctor_patient_acquisition,Seattle,Lynnwood,F,Checkup,t,9,6,3,15725.44662,f
facebook,san_diego_doctor_patient_acquisition,San Diego,Lakeside,M,Checkup,t,6,6,0,18955.32925,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Oakland,No Pref,Checkup,f,9,0,0,16419.25217,f
www.healthcare.com,chicago_doctor_patient_acquisition,Austin,Garland,No Pref,Checkup,t,0,0,0,,f
facebook,san_jose_doctor_patient_acquisition,San Jose,Campbell,No Pref,Checkup,f,9,0,0,5954.460425,f
facebook,seattle_doctor_patient_acquisition,Seattle,Auburn,No Pref,Checkup,f,6,0,0,16314.7436,t
facebook,san_francisco_doctor_patient_acquisition,San Francisco,Hayward,F,Urgent Issue,t,0,0,0,,f
m.facebook.com,Unknown,Denver,Boulder,No Pref,Checkup,f,0,0,0,,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,F,Checkup,t,5,5,0,2479.684925,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Specific Treatment,t,9,8,1,17363.6925,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Specific Treatment,f,9,0,0,8714.609488,f
facebook,san_jose_doctor_patient_acquisition,San Francisco,Fremont,No Pref,Checkup,t,1,1,0,19579.35102,f
facebook,denver_doctor_patient_acquisition,Denver,Broomfield,No Pref,Checkup,t,4,2,2,19861.79974,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,4,5,6355.818465,t
Patients,Unknown,Seattle,Wellpinit,No Pref,Urgent Issue,t,0,0,0,,f
facebook,austin_doctor_patient_acquisition,Austin,Round Rock,No Pref,Urgent Issue,f,8,0,0,14578.276430000002,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,4,5,6702.349854,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,f,8,0,0,11983.16892,t
facebook,san_jose_doctor_patient_acquisition,San Jose,Mountain View,No Pref,Checkup,t,9,5,4,18296.83598,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,M,Checkup,f,5,0,0,12849.32557,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,M,Checkup,f,9,0,0,8493.603309,f
facebook,us_doctor_patient_ad_testing,Seattle,Seattle,No Pref,Specific Treatment,t,9,0,9,7627.855394,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Urgent Issue,f,9,0,0,7359.719802,f
facebook,san_diego_doctor_patient_acquisition,San Jose,San Jose,No Pref,Checkup,t,9,2,7,7691.388004,f
facebook,chicago_doctor_patient_acquisition,Chicago,Oak Lawn,No Pref,Checkup,t,9,1,8,15386.45538,f
facebook,chicago_doctor_patient_acquisition,Chicago,Oak Park,F,Specific Treatment,t,9,1,8,11418.56347,f
www.healthcare.com,Unknown,San Francisco,San Francisco,F,Checkup,t,5,2,3,2475.700685,f
adwords,search_chicago_local,Chicago,Harwood Heights,No Pref,Urgent Issue,t,9,8,1,9141.248248,f
facebook,denver_doctor_patient_acquisition,Denver,Aurora,No Pref,Checkup,f,9,0,0,13747.06979,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Checkup,f,1,0,0,24260.55526,f
drip_gift_card_4,patient_leads_may_2018,San Francisco,San Francisco,No Pref,Checkup,t,9,7,2,9165.556053,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Urgent Issue,t,9,9,0,4605.735751,t
facebook,austin_doctor_patient_acquisition,Austin,Pflugerville,No Pref,Checkup,t,8,5,3,16647.179669999998,f
adwords,search_chicago_local,Chicago,Markham,No Pref,Specific Treatment,f,6,0,0,18299.01494,f
facebook,chicago_doctor_patient_acquisition,Chicago,Streamwood,No Pref,Specific Treatment,f,5,0,0,20692.81274,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Specific Treatment,t,9,2,7,8706.808105,f
facebook,austin_doctor_patient_acquisition,Denver,Morrison,No Pref,Specific Treatment,f,9,0,0,16159.28796,t
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,F,Checkup,f,4,0,0,15124.98168,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,3,6,8224.872665,f
facebook,chicago_doctor_patient_acquisition,Chicago,Rock Island,No Pref,Urgent Issue,t,0,0,0,,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,f,9,0,0,11937.56944,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,f,9,0,0,7203.19198,f
drip_gift_card_4,patient_leads_may_2018,Chicago,Naperville,M,Checkup,t,4,2,2,12200.33722,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Checkup,t,9,7,2,4606.3336,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,8303.460864,f
facebook,chicago_doctor_patient_acquisition,Chicago,Lake Zurich,No Pref,Checkup,t,3,1,2,22654.94781,f
facebook,san_diego_doctor_patient_acquisition,San Diego,Escondido,F,Urgent Issue,t,2,0,2,11634.41196,f
facebook,chicago_doctor_patient_acquisition,Austin,Fort Worth,No Pref,Checkup,f,0,0,0,,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Specific Treatment,t,9,0,9,7589.0832409999975,f
facebook,san_jose_doctor_patient_acquisition,San Jose,San Jose,No Pref,Checkup,t,9,0,9,8009.359495000002,f
facebook,san_diego_doctor_patient_acquisition,San Jose,San Jose,No Pref,Checkup,t,9,2,7,7623.888417,f
adwords,search_chicago_local,Chicago,Chicago,M,Urgent Issue,f,9,0,0,11238.30998,f
www.healthcare.com,Unknown,Austin,Austin,No Pref,Checkup,t,9,4,5,12748.53661,t
adwords,search_chicago_local,Chicago,Chicago,No Pref,Urgent Issue,f,9,0,0,18099.36852,f
adwords,search_sanfrancisco_local,San Francisco,San Francisco,M,Checkup,t,4,0,4,1739.261387,t
Patients,Unknown,Chicago,Chicago,No Pref,Checkup,t,9,0,9,3634.432377000001,t
Direct,Unknown,Chicago,Chicago,No Pref,Checkup,f,9,0,0,4093.354257,f
Direct,Unknown,Chicago,Chicago,No Pref,Checkup,f,9,0,0,1592.578382,t
adwords,search_chicago_local,Chicago,Chicago,No Pref,Urgent Issue,f,9,0,0,9214.380369,f
Branded - SEO,Unknown,Chicago,Chicago,F,Checkup,f,9,0,0,5195.06866,f
facebook,chicago_doctor_patient_acquisition,Denver,Denver,F,Urgent Issue,f,6,0,0,4949.728161,f
adwords,search_sanfrancisco_local,San Francisco,San Francisco,No Pref,Urgent Issue,t,9,8,1,4605.735751,f
facebook,seattle_doctor_patient_acquisition,Seattle,Bellevue,No Pref,Checkup,f,9,0,0,7168.676493000001,t
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Urgent Issue,t,8,7,1,11216.04523,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,2,7,6702.349854,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,3,6,11937.56944,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,6,3,18081.46441,f
Patients,Unknown,Chicago,Brookfield,No Pref,Checkup,f,9,0,0,13075.42171,f
facebook,seattle_doctor_patient_acquisition,Seattle,Lynnwood,No Pref,Checkup,t,9,9,0,13370.67696,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,f,9,0,0,13491.69872,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,M,Checkup,t,6,6,0,11984.40475,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Urgent Issue,f,9,0,0,5747.254678,f
adwords,search_seattle_metro,Seattle,Everett,No Pref,Checkup,t,6,1,5,10701.91323,t
facebook,denver_doctor_patient_acquisition,Denver,Denver,M,Checkup,f,8,0,0,10692.87299,f
adwords,search_sanfrancisco_local,San Francisco,San Francisco,No Pref,Urgent Issue,f,9,0,0,1707.687704,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,8,1,7670.957314,f
adwords,search_chicago_metro,Chicago,Oak Forest,M,Urgent Issue,f,6,0,0,15841.65309,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Urgent Issue,t,9,8,1,2565.729632,f
duckduckgo.com,Unknown,Austin,Carrollton,No Pref,Checkup,f,0,0,0,,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,0,9,13044.16395,f
SEO - C/S Page,Unknown,Chicago,Chicago,No Pref,Checkup,t,9,0,9,2553.7583870000008,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Checkup,t,9,0,9,10463.444759999997,f
patient_leads_may_2018,patient_leads_may_2018,Chicago,Chicago,No Pref,Checkup,t,9,0,9,2901.89409,t
facebook,denver_doctor_patient_acquisition,Denver,Louisville,No Pref,Checkup,t,2,1,1,20025.52159,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,8,3,5,15194.628169999998,f
facebook,chicago_doctor_patient_acquisition,Chicago,Oak Brook,No Pref,Checkup,t,9,0,9,18758.5738,f
www.healthcare.com,austin_doctor_patient_acquisition,Chicago,Mason,M,Specific Treatment,t,0,0,0,,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,M,Specific Treatment,t,9,1,8,9939.679862,t
facebook,chicago_doctor_patient_acquisition,Chicago,Schaumburg,M,Specific Treatment,t,5,4,1,15142.26925,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,0,9,13044.16395,f
facebook,sanfrancisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,t,9,1,8,4558.6173880000015,f
facebook,san_francisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Checkup,f,9,0,0,3018.882889,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Checkup,t,9,3,6,6146.818642,t
Direct,Unknown,San Francisco,San Francisco,No Pref,Checkup,f,9,0,0,3018.882889,t
Branded - SEO,Unknown,San Francisco,San Francisco,F,Checkup,t,5,1,4,2185.332273,f
SEO - C/S Page,Unknown,Austin,San Antonio,No Pref,Checkup,t,0,0,0,,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Specific Treatment,t,9,0,9,2842.424883,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,2,7,9478.208664,f
www.healthcare.com,doctor_patient_acquisition,San Francisco,Daly City,No Pref,Checkup,t,9,9,0,14241.66383,f
adwords,search_austin_local,Austin,Austin,No Pref,Urgent Issue,t,9,0,9,12451.47636,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,f,9,0,0,1615.001316,f
patient_leads_may_2018,patient_leads_may_2018,Denver,Denver,No Pref,Checkup,t,9,6,3,6445.099733,t
www.facebook.com,Unknown,San Francisco,San Francisco,M,Checkup,t,5,3,2,10445.66718,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Specific Treatment,t,9,2,7,12552.27285,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Specific Treatment,f,9,0,0,7494.893662,f
duckduckgo.com,Unknown,Chicago,Chicago,No Pref,Specific Treatment,f,9,0,0,2088.939152,f
SEO - C/S Page,Unknown,Chicago,Chicago,No Pref,Specific Treatment,t,9,0,9,10820.78998,f
Patients,Unknown,Austin,Austin,No Pref,Checkup,t,9,6,3,8621.208439,t
adwords,search_seattle_local,Seattle,Seattle,No Pref,Checkup,t,9,1,8,10765.77258,f
adwords,search_austin_local,Austin,Austin,No Pref,Urgent Issue,f,9,0,0,13475.11551,f
adwords,search_chicago_local,Chicago,Park Ridge,No Pref,Urgent Issue,t,9,7,2,7935.144429000001,f
,Unknown,Chicago,Chicago,No Pref,,f,9,0,0,4089.185404,f
facebook,san_diego_doctor_patient_acquisition,San Jose,San Jose,F,Specific Treatment,t,6,5,1,11005.07762,f
adwords,search_austin_local,Austin,Austin,No Pref,Checkup,f,9,0,0,8788.974546,f
Patients,Unknown,Chicago,Chicago,M,Specific Treatment,t,9,8,1,5071.004994,f
facebook,seattle_doctor_patient_acquisition,Seattle,Renton,F,Checkup,t,9,9,0,12340.55679,f
www.healthcare.com,Unknown,Austin,Austin,No Pref,Checkup,t,9,3,6,11051.29993,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Specific Treatment,t,8,4,4,15830.40539,f
Branded - SEO,Unknown,Austin,Round Rock,No Pref,Specific Treatment,t,6,5,1,21424.38571,f
patient_leads_may_2018,patient_leads_may_2018,Denver,Denver,No Pref,Checkup,t,9,8,1,7349.362105,f
www.healthcare.com,us_doctor_patient_ad_testing,Austin,Austin,No Pref,Checkup,f,9,0,0,12758.22222,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Specific Treatment,t,9,0,9,2412.603074,f
facebook,patient_leads_may_2018,Austin,Cedar Park,M,Checkup,t,4,1,3,15244.4904,t
facebook,chicago_doctor_patient_acquisition,Chicago,Bolingbrook,No Pref,Specific Treatment,f,6,0,0,16762.65911,f
facebook,san_diego_doctor_patient_acquisition,San Jose,San Jose,F,Specific Treatment,t,6,2,4,13405.52761,f
facebook,denver_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,5,4,9464.354602,f
facebook,san_diego_doctor_patient_acquisition,San Diego,San Diego,No Pref,Urgent Issue,t,8,2,6,11216.04523,f
facebook,us_doctor_patient_remarketing,San Francisco,San Francisco,No Pref,Checkup,t,9,1,8,4605.735751,f
cancellation,new,Chicago,Chicago,No Pref,Checkup,t,9,0,9,5388.061132,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,5,4,3431.958868,f
facebook,chicago_doctor_patient_acquisition,Seattle,Vancouver,No Pref,Checkup,t,0,0,0,,f
www.healthcare.com,Unknown,San Francisco,San Francisco,No Pref,Urgent Issue,f,9,0,0,7486.388505,f
feb_2018_email_blast,new,Chicago,Chicago,F,Checkup,t,9,2,7,6721.273912000002,f
Branded - Adwords,branded_keywords,Austin,Austin,No Pref,Checkup,t,9,3,6,7359.719802,f
facebook,san_diego_doctor_patient_acquisition,San Diego,La Jolla,No Pref,Checkup,t,9,6,3,12004.47992,f
www.healthcare.com,Unknown,Austin,Round Rock,No Pref,Specific Treatment,f,6,0,0,21424.38571,f
adwords,search_chicago_local,Chicago,Riverside,No Pref,Specific Treatment,f,9,0,0,12428.32633,t
cancellation,new,Denver,Denver,No Pref,Checkup,t,9,5,4,5528.577013,t
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,9,0,13766.36185,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Checkup,t,9,0,9,10172.50543,f
adwords,search_chicago_metro,Chicago,Villa Park,No Pref,Specific Treatment,t,9,5,4,13200.46166,f
facebook,seattle_doctor_patient_acquisition,Seattle,Kent,No Pref,Checkup,f,9,0,0,15860.25404,f
adwords,search_seattle_local,Seattle,Seattle,No Pref,Specific Treatment,f,9,0,0,12691.31272,f
www.healthcare.com,seattle_doctor_patient_acquisition,Seattle,Everett,No Pref,Specific Treatment,f,4,0,0,12389.0134,f
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,1,8,8233.964726999999,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,F,Specific Treatment,f,5,0,0,10059.66569,f
adwords,search_austin_local,Austin,Austin,No Pref,Checkup,t,9,4,5,9478.208664,f
adwords,search_chicago_local,Chicago,Chicago,F,Urgent Issue,f,9,0,0,8857.727832999999,f
